scene no,scene dialogue,chap no,chap dialogue,scene,chapter
20,My mommy says she wishes you were dead. ,9,My mommy says she wishes you were dead.,,
20,"Un-cool, rabbit. My tax dollars pay your salary. ",2,"Oh, you don't know when to quit, do you? ",,
======,Scene 20 is aligned with chapter 8,===========,=============,20,8
21,(less convinced with each utterance) I am a real cop. I am a real cop. I am a real cop. I am a real cop... ,5,They really did hire a bunny. What! I gotta tell you; you are even cuter than I thought you'd be.,,
21,Hey! ,2,Hey! ,,
21,You! Bunny! ,9,You! Bunny! ,,
21,"(rote) Sir, if you have a grievance, you may contest your citation in traffic court. ",1,"And no longer do I have to blindly serve the almighty carrot, ",,
21,"What're you talking about? My shop! It was just robbed! Look, he's getting away! Well are you a cop or not? ",9,What're you talking about? ,,
21,"(snapping out of it) Oh, yes! Yes! Don't worry, sir, I got this! ",27,Including our first fox. But… who cares? ,,
======,Scene 21 is aligned with chapter 9,===========,=============,21,9
22,Stop! Stop in the name of the law! ,20,"Well, am I a cop? No. No, I'm not, ",,
22,"Catch me if you can, Cottontail! ",9,"Catch me if you can, cottontail! ",,
22,Whoa. Coming through! ,10,Okay. You're the boss.,,
22,"This is Officer McHorn, we got a 10- ",9,"This is Officer McHorn. We've got a 10-31, ",,
22,"I got dibs! Officer Hopps, I am in pursuit! ",9,I got dibs￼! Officer Hopps. I am in pursuit! ,,
22,You! Freeze! ,4,You shut up! ,,
22,"(arriving, but too big to enter) Hey! Metermaid! Wait for the real cops! ",14,She is a mime. This mime cannot speak. You can't speak if you're a mime.,,
======,Scene 22 is aligned with chapter 9,===========,=============,22,9
23,Stop! ,9,Stop! ,,
23,"Oh! Oh, sorry! Coming through! `Scuse me! `Scuse me. Pardon... ",18,"Oh, I'm sorry… sir! ",,
23,"Bon voyage, flat foot! ",9,"Bon voyage￼, flatfoot! ",,
23,Hey! Stop right there! ,9,"He's a florist, ",,
23,"Have a donut, coppah! ",9,"Have a donut, copper! ",,
23,"Ohmygawd, did you see those leopard print jeggings? (sees the donut about to kill her) Aaaaaaaaaaaagh! ",9,"Ohmygawd, did you see those leopard-print jeggings? ",,
23,I love your hair. ,9,I love your hair.,,
23,Aw... thank you. ,9,"Awww… thank you, ",,
23,Come to papa... ,19,Come on! ,,
======,Scene 23 is aligned with chapter 9,===========,=============,23,9
24,"Okay, you're gonna have to be patient and wait in line just like everyone else, Mrs. Otterton, okay? ",6,"Well, I just wanna say, you're a great dad and just a… a real articulate fellow.",,
24,I popped the weasel! ,9,I popped the weasel! ,,
24,HOPPS! ,9,HOPPS! ,,
======,Scene 24 is aligned with chapter 9,===========,=============,24,9
25,"Abandoning your post, inciting a scurry, reckless endangerment of rodents... but to be fair, you did stop a master criminal from stealing two dozen... moldy onions. ",9,"Abandoning your post, inciting a scurry, reckless endangerment of rodents… but to be fair, you did stop a master criminal from stealing two dozen… um, let's see… moldy￼ onions.",,
25,"Hate to disagree with you, sir, but those aren't onions. Those are a crocus varietal called Midnicampum Holicithias. They're a Class C Botanical, sir. I grew up in a family where plant husbandry was kind of a thing. ",9,"Hate to disagree with you, sir, but those aren't onions, ",,
25,"Shut your tiny mouth, now. ",9,"Shut your tiny mouth, now, ",,
25,"Sir, I got the bad guy. That's my job. ",9,"Sir, I got the bad guy. That's my job.",,
25,Your job is putting tickets on parked cars. ,9,Your job is putting tickets on parked cars.,,
25,"Chief, uh, Mrs. Otterton's here to see you again. ",9,"Chief, uh, Mrs. Otterton's here to see you again.",,
25,Not now. ,9,"Not now, ",,
25,"Okay, I just didn't know if you wanted to take it this time, she seems really upset-- ",9,"Okay, I just didn't know if you wanted to take it this time—",,
25,Not now! ,9,Not now! ,,
25,"Sir, I don't want to be a meter maid... I wanna be a real cop. ",7,You're gonna want to refrain from calling me Carrots.,,
25,Do you think the Mayor asked what I wanted when he assigned you to me? ,9,Do you think the mayor asked what I wanted before he assigned you to me? ,,
25,"But sir, if you-- ",1,A police officer! ,,
25,Life isn't some cartoon musical where you sing a little song and your insipid dreams magically come true. So let it go! ,9,Life isn't some cartoon musical where you sing a little song and your insipid dreams magically come true. So let it go.,,
25,Chief Bogo please-- five minutes of your time. Please... ,9,"Chief Bogo, please, just five minutes of your time, ",,
25,"I'm sorry, sir, I tried to stop her, she is super slippery. I gotta go sit down. ",9,"I'm sorry, sir, I tried to stop her; she is super slippery￼. I gotta go sit down, ",,
25,"Ma'am, as I've told you, we are doing everything we can... ",9,"Ma'am, as I've told you, we are doing everything we can, ",,
25,My husband has been missing for ten days. His name is Emmitt Otterton. ,9,"My husband has been missing for ten days, ",,
25,"Yes, I know. ",9,"Yes, I know, ",,
25,He's a florist. We have two beautiful children. He would never just disappear. ,9,"He's a florist, ",,
25,"Ma'am, our detectives are very busy. ",9,"Ma'am, our detectives are very busy.",,
25,Please. There's got to be somebody to find my Em. ,9,Please. There's got to be somebody to find my Emmitt.,,
25,Mrs. Otterton-- ,3,Check this out! ,,
25,I will find him. ,9,"I will find him, ",,
25,"Oh, thank you! Bless you, bless you little bunny! (hands picture of family) Take this. Find my Emmitt. Bring him home to me and my babies. Please? ",1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",,
25,Mrs. Otterton? Please wait out here. ,9,Mrs. Otterton? Please wait out here.,,
25,"Of course. Oh, thank you both so much. ",26,"Of course not… he is, ",,
25,One second. ,16,"One, two, ",,
25,You're fired. ,9,You're fired.,,
25,What? Why?! ,9,What? Why? ,,
25,"Insubordination. Now, I'm going to open this door and you're going to tell that otter you're a former meter maid with delusions of grandeur who will not be taking the case. ",9,"Insubordination￼. Now, I'm going to open this door, and you are going to tell that otter you're a former meter maid with delusions of grandeur￼ who will not be taking the case.",,
25,I just heard Officer Hopps is taking the case! ,9,I just heard Officer Hopps is taking the case! ,,
25,Assistant Mayor Bellwether... ,18,"Assistant Mayor Bellwether, ",,
25,(texting) The Mammal Inclusion Initiative is really starting to pay off! Mayor Lionheart is just gonna be so jazzed! ,1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",,
25,"No! No, let's not tell the mayor just yet-- ",17,"Wait—sir, I'm not the only one who saw him! ",,
25,"And I sent it, and it is done, so I did do that. All right, well I'd say the case is in good hands! Us little guys really need to stick together! Right? ",9,"And I sent it, and it's done, so I did do that, ",,
25,Like glue! ,9,Like glue! ,,
25,"(amused laughter) Good one! Just call me if you ever need anything, okay? You've always got a friend at City Hall, Judy. Alright, bye bye! ",5,"FOURTEEN CASES. Now, that's more than we've ever had, and City Hall is right up my tail to solve them. This is priority￼ one. Assignments! ",,
25,"Thank you, ma'am. ",9,"Thank you, ma'am, ",,
25,I will give you 48 hours. ,9,"I will find him, ",,
25,YES! ,9,YES! ,,
25,That's two days to find Emmitt Otterton. ,9,That's two days to find Emmitt Otterton.,,
25,Okay. ,9,Okay.,,
25,"But, you strike out-- you resign. ",9,"Shut your tiny mouth, now, ",,
25,"Oh, uh... okay... deal. ",9,"Oh, uh…, ",,
25,Splendid. Clawhauser will give you the complete case file. ,9,"Splendid. Clawhauser will give you the complete case file, ",,
======,Scene 25 is aligned with chapter 9,===========,=============,25,9
26,Here ya go! One missing otter! ,2,Here you go! ,,
26,That's it?! ,9,That's it? ,,
26,"Yikes! That is the smallest case file I've ever seen! Leads: none, witnesses: none-- and you're not in the computer system yet, so resources: none. (chuckles) I hope you didn't stake your career on cracking this one. ",9,"Yikes! That is the smallest case file I've ever seen! Leads: none. Witnesses: none. And you're not in the computer system yet, so resources: none.",,
26,"Okay. (deep breath) ""Last known sighting..."" ",3,Okay. Gotta go. Bye! ,,
26,Can I just borrow-- (grabbing soda bottle) Thank you. ,9,"And I sent it, and it's done, so I did do that, ",,
26,Pawpsicle. ,9,Pawpsicle.,,
26,The murder weapon! ,9,The murder weapon! ,,
26,Get your pawpsicle... ,9,"Get your pawpsicle…, ",,
26,"Yeah, `cause that... What does that mean? ",17,"Boy, look at that traffic down there, ",,
26,It means I... have a lead. ,9,It means I… have a lead.,,
======,Scene 26 is aligned with chapter 9,===========,=============,26,9
27,Hi! Hello? It's me again! ,10,Hi! Hello? It's me again! ,,
27,"Hey, it's Officer Toot Toot. ",10,"Hey, it's Officer Toot-Toot, ",,
27,"(fake laugh, humoring him) Ha-ha-ho, no actually it's Officer Hopps, and I'm here to ask you some questions about a case. ",3,And he cheats like there's no tomorrow￼. Pretty much all predators do—and Zootopia's full of 'em. And foxes are the worst.,,
27,"What happened, meter maid? Did someone steal a traffic cone? It wasn't me. ",10,"What happened, meter maid? ",,
27,"Hey, Carrots, you're gonna wake the baby, I gotta get to work. ",22,"Well, because you're a trier, that's why, ",,
27,"This is important, sir. I think your ten dollars worth of popsicles can wait. ",10,"This is important, sir. I think your ten dollars' worth of pawpsicles can wait.",,
27,"I make 200 bucks a day, fluff. 365 days a year, since I was 12, and time is money, hop along. ",13,"It does. One hundred percent. Now… since you're sans warrant, I guess we're done? ",,
27,"Please, just look at the picture. ",10,Did you just boot my stroller? ,,
27,You sold Mr. Otterton that popsicle right? Do you know him? ,15,"You should be asking… what happened to me, ",,
27,"I know everybody. And I also know that somewhere there's a toy store missing its stuffed animal, so why don't you get back to your box. ",23,"I know everybody, ",,
27,Fine. Then we'll have to do this the hard way. ,3,"Guys, I've been working for this my whole life, ",,
27,Did you just boot my stroller? ,10,Did you just boot my stroller? ,,
27,"Nicholas Wilde, you are under arrest. ",10,"Nicholas Wilde, you are under arrest, ",,
27,For what? Howting your feewings? ,10,"For what?
“Felony￼ tax evasion￼, ",,
27,Felony tax evasion. ,3,"I love you guys, ",,
27,"Yeah. 200 dollars a day... 365 days a year... since you were 12, that's two decades, so times twenty... (calculating) ",20,That went so fast. I didn't get a chance to mention you or say anything about—,,
27,41,2,Ow! ,,
27,"...which is one million four- hundred sixty thousand-- I think, I mean I am just a dumb bunny, but we are good at multiplying-- anyway, according to your tax forms... (presenting the forms) ...you reported let me see here: zero. Unfortunately, lying on a federal form is a punishable offense. Five years jail time. ",14,"And how did you repay my generosity? With a rug… made from the butt of a skunk. A skunk-butt rug. You disrespected me. You disrespected my gram-mama, who I buried in that skunk-butt rug. I told you never to show your face here again, but here you are, snooping￼ around with this… ",,
27,"Well, it's my word against yours. ",10,"Well, it's my word against yours, ",,
27,"""200 bucks a day, fluff. 365 days a year, since I was 12."" ",9,"I hope you didn't stake your career on￼ cracking this one, ",,
27,"Actually, it's your word against yours. And if you want this pen, you're going to help me find this poor missing otter or the only place you'll be selling popsicles is the prison cafeteria. (dramatic smirk) It's called a hustle, sweetheart. ",10,"Actually, it's your word against yours, ",,
27,"She hustled you. (rude laugh) She hustled you good! You're a cop now Nick, you're gonna need one of these! Have fun working with the fuzz! ",10,"She hustled you. She hustled you good. You're a cop now, Nick; you're gonna need one of these! ",,
27,Start talking. ,10,"Start talking, ",,
27,I don't know where he is. I only saw where he went. ,10,I don't know where he is. I only saw where he went.,,
27,"Great, let's go. ",10,"Great, let's go.",,
27,It's not exactly a place for a cute little bunny. ,10,"It's not exactly a place for a cute little bunny, ",,
27,Don't call me cute. (forceful) Get in the car. ,10,"Don't call me cute, ",,
27,Okay. You're the boss. ,10,Okay. You're the boss.,,
======,Scene 27 is aligned with chapter 10,===========,=============,27,10
28,Oooooooooohmmmmmmmm. Oooooooooooohmmmmmm. ,11,"Oooooooohmmmmm, ",,
28,"Hi, hello. ",9,Hey hey! ,,
28,"Um, hello? Hello? HELLO?! ",10,Hi! Hello? It's me again! ,,
28,Hello! My name is-- ,11,Hello! My name is—,,
28,"Ooo, you know, I'm gonna hit the pause button right there, `cause we're all good on Bunny Scout Cookies. ",11,Told ya Nanga had a mind like a steel trap. I wish I had a memory like an elephant.,,
28,"Uh, no... I'm Officer Hopps, ZPD. I'm looking for a missing mammal, Emmitt Otterton. Right here-- (shows photo) --who may have frequented this establishment. ",17,"I thought this was just a missing mammal case, but it's way bigger. Mr. Otterton did not just disappear. I believe he and this jaguar… they went savage, sir.",,
28,AH-CHOO! ,11,AH-CHOO! ,,
28,"(flies go everywhere) Yeah, Ol' Emmitt! Haven't seen him in a couple weeks. But hey, you should talk to his yoga instructor, I'd be happy to take you back. ",9,"Yikes! That is the smallest case file I've ever seen! Leads: none. Witnesses: none. And you're not in the computer system yet, so resources: none.",,
28,"Oh, thank you so much, I'd appreciate that more than you can imagine. It would be such a big-- (scream) You are naked! ",1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",,
28,"Huh? Oh for sure, we're a naturalist club. ",3,"This is fox repellent￼, ",,
28,"Yeah, in Zootopia anyone can be anything. These guys... they be naked. ",11,"Yeah, in Zootopia anyone can be anything…, ",,
28,Nangi's just on the other side of the pleasure pool. ,11,"Nanga's on the other side of the pleasure pool, ",,
28,"Does this make you uncomfortable? Because, if so, there's no shame in calling it quits. ",11,Does this make you uncomfortable? Because there is no shame in calling it quits. We could end our deal right now.,,
28,Yes there is. ,13,"The thing is, ",,
28,"Boy, that's the spirit. ",11,"Boy, that's the spirit, ",,
======,Scene 28 is aligned with chapter 11,===========,=============,28,11
29,"Yeah, some mammals say the naturalist life is weird, but you know what I say is weird? Clothes on animals! Here we go. ",11,"Yeah, some mammals say the naturalist life is weird, ",,
29,"As you can see, Nangi's an elephant, so she'll totally remember everything. Hey Nangi, these dudes have some questions about Emmitt the Otter. ",7,No one tells me what I can or can't be! Especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler.,,
29,Who? ,11,Who? ,,
29,"Uh, Emmitt Otterton? Been coming to your yoga class for like 6 years? ",2,"Oh, you don't know when to quit, do you? ",,
29,I have no memory of this beaver. ,11,"I have no memory of this beaver, ",,
29,He's an otter actually. ,15,"He's a kitty, ",,
29,He was here a couple Wednesdays ago. `Member? ,11,He was here a couple Wednesdays ago. 'Member? ,,
29,Nope. ,1,"Nope, ",,
29,"Yeah, he was wearing a green cable- knit sweater vest, and new pair of corduroy slacks. Oh, and a paisley tie. Sweet Windsor knot. Real tight. Remember that Nangi? ",14,"Well, actually, we were brought here against our will, so… Point is, I did not know it was your car, and I certainly did not know about your daughter's wedding, ",,
29,No. ,11,"No, ",,
29,"Yeah, and we both walked him out and he got into this big ol' white car with a silver trim? Needed a tune up. The third cylinder wasn't firing. `Member that, Nangi? ",19,"Because I got a dozen and a half animals here who've gone off-the-freaking-rails crazy, and you can't tell me why. I'd call that awfully far from doing everything.",,
29,Nope. ,1,"Nope, ",,
29,"You didn't happen to catch the license plate number, did you? ",20,What can you tell us about the animals that went savage? ,,
29,"Oh, for sure. It was 29THD03. ",11,"Oh, for sure, ",,
29,"0, 3... Wow, this is a lot of great info, thank you. ",1,"We gave up on our dreams and we settled, right, Bon? ",,
29,Told ya Nangi has a mind like a steel trap. I wish I had a memory like an elephant. ,11,Told ya Nanga had a mind like a steel trap. I wish I had a memory like an elephant.,,
======,Scene 29 is aligned with chapter 11,===========,=============,29,11
30,"Well, I had a ball. You are welcome for the clue. And seeing as how any moron can run a plate, I will take that pen and bid you adieu. ",11,"Well, I had a ball. You are welcome for the clue. And seeing as how any moron￼ can run a plate, I'll take that pen and bid you adieu.",,
30,The plate... I can't run a plate... (frustrated grunt) I'm not in the system yet. ,11,The plate… I can't run the plate… I'm not in the system yet.,,
30,Give me the pen please. ,3,"This is fox repellent￼, ",,
30,"(still withholding pen) What was it you said? ""Any moron can run a plate?"" Gosh... if only there were a moron around who were up to the task... ",7,No one tells me what I can or can't be! Especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler.,,
30,"Rabbit, I did what you asked, you can't keep me on the hook forever. ",11,"Rabbit, I did what you asked; you can't keep me on the hook forever, ",,
30,"Not forever. Why, I only have 36 hours left to solve this case. So can you run the plate or not? ",13,"Well, it's gonna be an even bigger crime scene if Mr. Big finds me, so we are leaving right now! ",,
30,"Actually, I just remembered I have a pal at the DMV... ",18,If we could just review these very important—,,
======,Scene 30 is aligned with chapter 11,===========,=============,30,11
31,"Flash is the fastest guy in there, you need something done, he's on it. ",2,"Well, he was right about one thing: I don't know when to quit￼.",,
31,"I hope so, we are really fighting the clock and every minute counts. (suddenly stops, alarmed) Wait. They're all sloths?! ",16,"I can tell you're tense, so I'm just gonna give you a little personal space, ",,
31,You said this was going to be quick! ,12,You said this was going to be quick! ,,
31,"(faux innocence) What? Are you saying that because he's a sloth, he can't be fast? I thought in Zootopia anyone could be anything. ",17,"N-no, shh-shush! There are traffic cameras everywhere. All over the canopy. Whatever happened to that jaguar—",,
31,"Flash, Flash, hundred yard dash! Buddy, it's nice to see ya. ",12,"Flash, Flash, hundred-yard dash! ",,
31,Nice to... (beat) (beat) see you... (beat) (beat) too. ,10,"It's not exactly a place for a cute little bunny, ",,
31,"Hey Flash, I'd love ya to meet my friend-- uh, darlin' I've forgotten your name. ",13,"And I will bet you don't have a warrant to get in. Hmm? Darn it. It's a bummer￼, ",,
31,"(fake smile, to Nick) Officer Judy Hopps, ZPD. (shows badge) How are ya? ",12,"Ha, ha, yes, very funny, very funny. Can we please just focus on the—",,
31,I am... doing... just... ,1,"I like trying, actually, ",,
31,Fine? ,12,Fine? ,,
31,...as well... as... I can... be. What... ,17,"Never let them see that they get to you, ",,
31,(to an impatient Hopps) Hang in there. ,16,Sending back up! Hopps? HOPPS? ! ,,
31,...can I... do... ,22,Have a nice day.,,
31,"Well, I was hoping you could run a plate-- ",12,"Well, I was hoping you could run a plate—",,
31,For you... ,9,"Not now, ",,
31,"Well, I was hoping you could-- ",12,"Well, I was hoping you could—",,
31,...today. ,7,"Hey, hey! ",,
31,"Well, I was hoping you could run a plate for us. We are in a really big hurry. ",12,"Well, I was hoping you could run a plate for us. We're in a really big hurry, ",,
31,Sure.    What's the... plate... ,3,"Sure. We all do. Absolutely, ",,
31,"2, 9, T-- ",1,"Nope, ",,
31,...Number? ,9,What? Why? ,,
31,29THD03. ,12,29THD03.,,
31,(several beats) ,3,"And also bears, ",,
31,THD03. ,12,"THD03, ",,
31,T. ,12,"T, ",,
31,HD03. ,1,"Nope, ",,
31,H. ,12,"T, ",,
31,D03. ,2,Hey! ,,
31,D. ,12,"T, ",,
31,"Mmhmm. 0, 3. ",6,"A Jumbo-pop, ",,
31,0,12,"T, ",,
31,3! ,12,"T, ",,
31,"Hey Flash, wanna hear a joke? ",11,"and these guys, they be naked.",,
31,No! ,12,No! ,,
31,Sure. ,1,"Nope, ",,
31,What do you call a three humped camel? ,12,What do you call a three-humped camel? ,,
31,I don't... know... (beat) What... do... you call... a... ,10,I don't know where he is. I only saw where he went.,,
31,Three humped camel. ,12,"Three-humped camel, ",,
31,Three humped... camel? ,12,"Three-humped camel, ",,
31,Pregnant. ,12,"Pregnant, ",,
31,Ha... ha... ha... ha... ,25,Maybe that's just hail? ,,
31,"Ha, ha, yes very funny, very funny, can we please just focus on the task-- ",12,"Ha, ha, yes, very funny, very funny. Can we please just focus on the—",,
31,Hey... Priscilla... ,5,"Hey. Officer Hopps, ",,
31,Oh no! ,16,There! ,,
31,Yes... Flash? ,9,"Yes, I know, ",,
31,What... do... ,7,"That's right, ",,
31,No! ,12,No! ,,
31,You call... a... ,25,"Oh, hallelujah, ",,
31,"A three humped camel? Pregnant! Okay, great, we got it, please just- ",12,A three-humped camel? Pregnant! ,,
31,Three... humped... ,12,Three… humped… ,,
31,Aggggggghhhhhhh-- ,9,Stop right there! ,,
======,Scene 31 is aligned with chapter 12,===========,=============,31,12
32,Here... ,7,Permit.,,
32,"Yeah, yeah, yeah... thank you! ",12,"Yeah, yeah, yeah… thank you! ",,
32,You... go. ,9,You! ,,
32,"(frantically reads) 29THD03-- it's registered to... Tundratown Limo Service? A limo took Otterton, and the limo's in Tundratown-- it's in Tundratown! ",7,No one tells me what I can or can't be! Especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler.,,
32,"Way to hustle, bud. I love ya. I owe ya. ",12,"Way to hustle, buddy, ",,
32,"Hurry, we gotta beat the rush hour and-- ",12,"Hurry, we gotta beat the rush hour and—",,
======,Scene 32 is aligned with chapter 12,===========,=============,32,12
33,IT'S NIGHT?! ,12,IT'S NIGHT! ,,
======,Scene 33 is aligned with chapter 12,===========,=============,33,12
34,Closed. Great. ,13,"Closed, ",,
34,Mm. And I will betcha you don't have a warrant to get in. Hm? Darn it. It's a bummer. ,1,"Yeah, just as long as you don't believe in them too much, ",,
34,You wasted the day on purpose. ,13,"You wasted the day on purpose, ",,
34,"Madam, I have a fake badge. I would never impede your pretend investigation. ",13,"Madam, I have a fake badge. I would never impede￼ your pretend investigation.",,
34,"It's not a pretend investigation! Look, see-- (showing picture of Otterton) See him? This otter is missing. ",10,"She hustled you. She hustled you good. You're a cop now, Nick; you're gonna need one of these! ",,
34,Well then they should have gotten a real cop to find him. ,20,"BUT, but, but… it may have something to do with biology, ",,
34,"What is your problem? Does seeing me fail somehow make you feel better about your own sad, miserable life? ",13,What is your problem? ,,
34,"It does. One hundred percent. (then) Now... since you're sans warrant, I guess we're done? ",13,"It does. One hundred percent. Now… since you're sans warrant, I guess we're done? ",,
34,Fine. We are done. Here's your pen. ,3,"Sure. We all do. Absolutely, ",,
34,Hey! (staring at the pen) ,16,What is wrong with him? ,,
34,52,2,Ow! ,,
34,"First off, you throw like a bunny, second, you're a very sore loser. (starts to climb) See ya later, Officer Fluff, so sad this is over, I wish I could've helped more. ",13,"First off, you throw like a bunny, and second, you are a very sore loser.",,
34,"The thing is, you don't need a warrant if you have probable cause, and I'm pretty sure I saw a shifty low-life climbing the fence, so you're helping plenty. Come on. ",15,"He was an animal, down on all fours. He was a savage.There was no warning, just kept yelling about the ‘night howlers, the night howlers, ' over and over.",,
======,Scene 34 is aligned with chapter 13,===========,=============,34,13
35,29THD03... this is it. ,12,29THD03.,,
======,Scene 35 is aligned with chapter 12,===========,=============,35,12
36,Polar bear fur. ,13,"Polar bear fur, ",,
36,(opening glove box) ,3,"Love you, too! ",,
36,What? What?! ,13,What? What! ,,
36,The Velvety Pipes of Jerry Vole! But on CD? Who still uses CDs? ,13,The Velvety Pipes of Jerry Vole! ,,
36,Carrots...? If your otter was here... he had a very bad day. ,11,Been coming to your yoga class for like six years.,,
36,Those are... claw marks. You ever seen anything like this? ,6,"There are. It's just, my boy—",,
36,No. ,11,"No, ",,
36,"Oh, wait. Look. ",25,"Oh, hallelujah, ",,
36,This is him. Emmitt Otterton. He was definitely here. What do you think happened? ,13,This is him! Emmitt Otterton. He was definitely here. What do you think happened? ,,
36,"Well, now wait a minute... (then, suspicious) Polar bear fur... Rat Pack music... fancy cup... (suddenly terrified) I know whose car this is. We gotta go! ",1,"Yes! Your dad and me and your two hundred seventy-five brothers and sisters—we're changing the world one carrot at a time, ",,
36,Why? Whose car is it? ,13,Why? Whose car is it? ,,
36,"The most feared crime boss in Tundratown. They call him Mr. Big and he does not like me, so we gotta go! ",15,"Oh. Wow. That's crazy, because that is actually why we came to talk to you… about the night howlers. Right? ",,
36,"I'm not leaving, this is a crime scene. ",13,"I'm not leaving, ",,
36,"Well, it's gonna be an even bigger crime scene if Mr. Big finds me here, so we're leaving right now! ",13,"Well, it's gonna be an even bigger crime scene if Mr. Big finds me, so we are leaving right now! ",,
36,"(faux excitement) Raymond! And, is that Kevin?! Long time no see. And speaking of no see, how about you forget you saw me? Huh? For old time's sake? ",7,"All right, look, everyone comes to Zootopia thinking they can be anything they want. Well, you can't. You can only be what you are.",,
36,That's a no. ,9,That's it? ,,
======,Scene 36 is aligned with chapter 13,===========,=============,36,13
37,What did you do that made Mr. Big so mad at you? ,13,What did you do to make Mr. Big so mad at you? ,,
37,"(sotto) I uh, I may have sold him a very expensive wool rug... that was made from the fur of a... skunk's butt. ",13,"I, uh, may or may not have sold him a very expensive wool rug… that was made from the fur of a… skunk￼'s butt, ",,
37,"(pissed at Nick) Oh, sweet cheese and crackers. ",11,"Nanga's on the other side of the pleasure pool, ",,
======,Scene 37 is aligned with chapter 13,===========,=============,37,13
38,(sotto) Is that Mr. Big? ,18,Where does that road go? ,,
38,(sotto) No. ,6,Toot-toot! ,,
38,What about him? Is that him? ,14,What about him? Is that him? ,,
38,"(sotto, frustrated) No. ",7,"Really, for what? ",,
38,That's gotta be him. ,7,What's with the color? ,,
38,Stop talking stop talking stop talking-- ,14,"Stop talking, stop talking, stop talking—",,
38,"Mr. Big, sir, this is a simple misunder- ",14,"Mr. Big, sir, this is a simple misunder—",,
38,This is a simple misunderstanding. ,14,"This is a simple misunderstanding, ",,
38,You come here unannounced... on the day my daughter is to be married? ,14,You come here unannounced… on the day my daughter is to be married? ,,
38,"Well actually we were brought here against our will, so... (Mr. Big is not impressed) Point is, I did not know it was your car, and I certainly did not know about your daughter's wedding. ",2,"Come get 'em. But watch out, 'cause I'm a fox. And like you said in your dumb little stage play, we predators used to eat prey. And that killer instinct￼ is still in our Dunnahh.",,
38,"I trusted you, Nicky... I welcomed you into my home... we broke bread together... Gram-mama made you her cannoli. And how did you repay my generosity? With a rug... made from the butt of a skunk. A skunk butt rug. You disrespected me. You disrespected my gram-mama who I buried in that skunk butt rug. I told you never to show your face here again, but here you are, snooping around with this... (re. Hopps) What are you, a performer? What's with the costume? ",14,"I trusted you, Nicky. I welcomed you into my home. We broke bread together. Gram-mama made you her cannoli.",,
38,"Sir, I am a c-- ",14,"Sir, I am a co—",,
38,"Mime! She is a mime. This mime, cannot speak. You can't speak if you're a mime. ",13,"First off, you throw like a bunny, and second, you are a very sore loser.",,
38,"No. I am a cop. And I'm on the Emmitt Otterton case, and my evidence puts him in your car, so intimidate me all you want, I'm going to find out what you did to that otter if it's the last thing I do. ",2,"Come get 'em. But watch out, 'cause I'm a fox. And like you said in your dumb little stage play, we predators used to eat prey. And that killer instinct￼ is still in our Dunnahh.",,
38,Then I have only one request: say hello to Gram-mama. Ice `em! ,14,Then I have only one request: say hello to Gram-mama. Ice 'em! ,,
38,Whoa-- I didn't see nothing-- I'm not saying nothing-- ,14,"What are you, a performer? What's with the costume￼? ",,
38,And you never will-- ,2,"Are you okay, Judy? ",,
38,Please! No no no! If you're mad at me about the rug I've got more rugs! ,20,Probably best if you don't have a predator as a   partner.,,
38,"Oh, Daddy, it's time for our dance. (sees them trying to kill Nick) What did we say? No icing anyone at my wedding! ",14,"Oh, Daddy, it's time for our dance, ",,
38,"I have to, baby. Daddy has to. (to Thugs) Ice `em. ",14,"I have to, baby, ",,
38,Wait. WAIT! She's the bunny that saved my life yesterday. From that giant donut. ,14,I know her. She's the bunny who saved my life yesterday. From that giant donut.,,
38,This bunny? ,14,This bunny? ,,
38,Yeah. Hi! ,11,"Yeah, ",,
38,"Hi. (warm, whisper) I love your dress. ",19,"Looks like this was a hospital, ",,
38,"Aw, thank you. ",14,"Aw, thank you, ",,
38,"Put `em down. (then, to Hopps) You have done me a great service. I will help you find the otter. I will take your kindness... and pay it forward. ",15,He's like a part of the family. He had something important he wanted to discuss. That's why I sent that car to pick him up. But he never arrived.,,
======,Scene 38 is aligned with chapter 14,===========,=============,38,14
39,Otterton is my florist. He's like a part of the family. He had something important he wanted to discuss. That's why I sent that car to pick him up. But he never arrived. ,15,"Otterton is my florist, ",,
39,Because he was attacked. ,15,"Because he was attacked, ",,
39,No... he attacked. ,1,A police officer! ,,
39,Otterton? ,16,"One, two, ",,
39,"Otterton. He went crazy. Ripped up the car, scared my driver half to death and disappeared into the night. ",6,"Oh no, my treat. It just—you know, it burns me up￼ to see folks with such backward attitudes toward foxes, ",,
39,He's a sweet little otter. ,15,"He's a sweet little otter, ",,
39,"My child, we may be evolved... but deep down we are still animals. ",15,"My child, we may be evolved￼ … but deep down, we are still animals.",,
39,"You want to find Otterton... talk to the driver of the car. His name's Manchas, lives in the Rainforest District. Only he can tell you more. ",15,"You want to find Otterton, talk to the driver of the car. His name is Manchas, lives in the Rainforest District. Only he can tell you more.",,
